level_3rd,skill_type,tags
C语言-C开发,数据库类型,MySQL|_|Oracle|_|SQL Server
C语言-C开发,硬件工作方向,ARM开发|_|驱动开发
C语言-C开发,系统类型,FreeRTOS|_|Linux|_|RT-Thread|_|RTOS|_|UCOS|_|Unix|_|Windows|_|嵌入式Linux
C语言-C开发,计算机语言方向,C/C++|_|Golang|_|Lua|_|Python|_|SQL|_|Shell
C语言-C开发,软件开发工具,ActiveX|_|CUDA|_|Cmake|_|Makefile|_|OpenCV|_|OpenGL|_|STL|_|SVN|_|WinDbg
C语言-C开发,软件开发方向,客户端开发|_|服务端开发|_|游戏开发|_|逆向开发
C语言-C开发,运维工具,Docker|_|Kubernetes
DBA-数据库运维,技术工作内容,数据备份|_|数据存储|_|数据安全|_|数据库工程师|_|数据库架构|_|数据库监控|_|数据库管理员|_|数据库设计|_|数据库调优|_|数据迁移
DBA-数据库运维,数据库类型,DB2|_|MongoDB|_|MySQL|_|Oracle|_|PostgreSQL|_|Redis|_|SQL Server
DBA-数据库运维,数据职能,数据仓库|_|数据库开发
DBA-数据库运维,系统类型,AIX|_|Linux|_|Unix|_|Windows
DBA-数据库运维,计算机语言方向,Python|_|SQL|_|Shell
DBA-数据库运维,资格证书,OCA|_|OCM|_|OCP
DSP开发,数据库类型,MySQL|_|Redis
DSP开发,硬件工作方向,嵌入式硬件开发|_|嵌入式软件开发
DSP开发,计算机语言方向,C++|_|C语言|_|Python|_|Shell
DSP开发,设计软件,CAD
Delphi,后端框架,SpringBoot|_|SpringCloud
Delphi,技术类型,Socket技术|_|分布式技术|_|多线程|_|多进程|_|微服务架构|_|数据结构|_|消息队列|_|网络协议
Delphi,系统类型,Linux|_|PC端|_|Web端|_|Windows
Delphi,计算机语言方向,C#|_|C++|_|C语言|_|Golang|_|Java|_|PHP|_|Python|_|Ruby
EHS工程师,工作方向,安全管理|_|消防管理|_|职业健康管理
EHS工程师,证书,安全员资格证|_|安全评价师证书|_|注册安全工程师|_|注册消防工程师资格证书
ERP实施顾问,咨询方向,IT咨询|_|IT咨询
ERP实施顾问,项目方向,技术管理|_|技术管理|_|硬件实施|_|硬件实施|_|软件实施|_|软件实施
ERP实施顾问,项目管理阶段,ERP实施|_|ERP实施|_|PMO|_|PMO|_|SaaS实施|_|SaaS实施|_|敏捷管理|_|敏捷管理|_|现场管理|_|现场管理|_|解决方案|_|解决方案|_|资料管理|_|资料管理|_|项目实施|_|项目实施|_|项目管理|_|项目管理
